Date,Name,Year,Letterboxd URI,Rating
2023-07-05,Nimona,2023,https://boxd.it/Aiyc,4
2023-07-09,Pitch Perfect 3,2017,https://boxd.it/bUre,1.5
2023-07-09,Black Mirror: Demon 79,2023,https://boxd.it/H7Rc,3
2023-07-12,Escape Room,2019,https://boxd.it/iYlS,3
2023-07-14,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,4
2023-07-14,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,4
2023-07-14,Causeway,2022,https://boxd.it/lWQq,4.5
2023-07-15,The Black Phone,2021,https://boxd.it/sqFE,4
2023-07-16,Frances Ha,2012,https://boxd.it/41Xg,4
2023-07-20,Barbie,2023,https://boxd.it/bCLK,3
2023-07-21,boygenius: the film,2023,https://boxd.it/FQGY,4
2023-07-21,Folklore: The Long Pond Studio Sessions,2020,https://boxd.it/sRk4,5
2023-07-21,Whiplash,2014,https://boxd.it/7bQA,4.5
2023-07-22,House at the End of the Street,2012,https://boxd.it/2Tog,2
2023-07-23,Babylon,2022,https://boxd.it/mM02,4.5
2023-07-24,Teen Beach Movie,2013,https://boxd.it/5rKa,3
2023-07-25,Hannah Montana: The Movie,2009,https://boxd.it/1Hx4,4
2023-07-26,The Wave,2015,https://boxd.it/baoo,4
2023-07-29,Good Omens,2019,https://boxd.it/jUOI,5
2023-07-29,Maid,2021,https://boxd.it/x3mk,5
2023-07-30,Big Little Lies,2017,https://boxd.it/fYde,5
2023-07-31,Close,2022,https://boxd.it/y4qa,5
2023-08-05,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,4.5
2023-08-05,Evil Dead Rise,2023,https://boxd.it/qIvo,4
2023-08-05,Wolfwalkers,2020,https://boxd.it/fGrC,4.5
2023-08-20,The Last Duel,2021,https://boxd.it/mQbe,5
2023-08-24,Tomboy,2011,https://boxd.it/49U,5
2023-08-28,Hide and Seek,1996,https://boxd.it/3mcy,4
2023-09-06,National Theatre Live: Prima Facie,2022,https://boxd.it/Ao48,4.5
2023-09-15,Bros,2022,https://boxd.it/mJZw,2.5
2023-09-15,Promising Young Woman,2020,https://boxd.it/loRE,2
2023-09-17,No Hard Feelings,2023,https://boxd.it/xouu,3.5
2023-09-19,Theater Camp,2023,https://boxd.it/Bfbm,4
2023-09-20,Moonlit Winter,2019,https://boxd.it/lfnK,4.5
2023-09-21,Talk to Me,2022,https://boxd.it/C6uQ,3.5
2023-09-22,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2023-09-22,The Little Mermaid,2023,https://boxd.it/fVum,4
2023-09-23,Bend It Like Beckham,2002,https://boxd.it/2am0,3
2023-09-25,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2023-10-07,All of Us Strangers,2023,https://boxd.it/Bz3C,5
